stid,number,name,lat [degrees],lon [degrees],elevation [m],county,nearest_city,state,distance_from_town [km],direction_from_town [degrees],climate_division,climate_division_name,wfo,commissioned,decommissioned
WALT,95,Walton,42.2395,-75.17879,559.796,Delaware,Walton,NY,8.8,NNW,2,Eastern Plateau,BGM,2016-04-18 19:05:00 UTC,
WANT,42,Wantagh,40.6551,-73.50616,8.5344,Nassau,Wantagh,NY,3.2,S,4,Coastal,OKX,2016-11-10 03:05:00 UTC,
WARS,72,Warsaw,42.77993,-78.20889,540.715,Wyoming,Warsaw,NY,7.6,NW,10,Central Lakes,BUF,2016-05-16 15:35:00 UTC,
WARW,92,Warwick,41.24036,-74.39056,164.287,Orange,Warwick,NY,3.1,SW,5,Hudson Valley,OKX,2016-04-14 16:50:00 UTC,
WATE,6,Waterloo,42.87966,-76.81255,145.755,Seneca,Waterloo,NY,5,SE,10,Central Lakes,BGM,2015-11-04 16:40:00 UTC,
WBOU,94,Woodbourne,41.74505,-74.58833,432.999,Sullivan,Woodbourne,NY,0.6,SE,2,Eastern Plateau,BGM,2016-09-01 17:25:00 UTC,
WELL,115,Wellesley Island,44.30782,-76.00858,86.777,Jefferson,Wellesley Island,NY,0.8,S,8,St. Lawrence Valley,BTV,2016-04-27 17:00:00 UTC,
WEST,46,Westmoreland,43.10647,-75.46146,199.614,Oneida,Westmoreland,NY,4.8,W,6,Mohawk Valley,BGM,2015-11-18 19:45:00 UTC,
WFMB,14,Whiteface Mountain Base,44.393236,-73.858829,614.599,Essex,Wilmington,NY,3.5,W,3,Northern Plateau,BTV,2016-01-29 20:55:00 UTC,
WGAT,123,Woodgate,43.532408,-75.158597,442.966,Oneida,Woodgate,NY,1.4,NNW,3,Northern Plateau,BGM,2016-08-29 18:20:00 UTC,
WHIT,10,Whitehall,43.485073,-73.423071,36.5638,Washington,Whitehall,NY,8,S,7,Champlain Valley,ALY,2015-08-26 20:30:00 UTC,
WOLC,79,Wolcott,43.22868,-76.84261,121.219,Wayne,Wolcott,NY,2.4,WNW,9,Great Lakes,BUF,2016-03-09 18:10:00 UTC,
YORK,99,York,42.85504,-77.84776,177.942,Livingston,York,NY,3.6,ESE,10,Central Lakes,BUF,2016-08-09 17:55:00 UTC,
